item_id,agenda_item_title,found_data_sheet,application_number,applicant,agent,architect,owner,matched_dev_applications_row,dev_app_street
2024.PH13.3,2444 Eglinton Avenue East - Zoning Amendment - Decision Report - Approval,True,24 136301 ESC 21 OZ,SAGE 147 ELDER REAL CO INC,,,CITY OF TORONTO,True,2444 EGLINTON AVE
2024.PH13.4,Housing Action Plan: As-of-Right Zoning for Mid-rise Buildings on Avenues and Updated Rear Transition Performance Standards - Proposals Report,False,,,,,,False,
2024.PH13.5,"Modular Housing Initiative Phase 2: Update Report, and Amendments to Purchase Order Numbers 6052027 and 6052881 issued to NRB Inc. for Design-Build Services for Supportive Housing",False,,,,,,False,
2024.PH13.7,Renovictions Policy Implementation: Review of Hamilton Renovation Licence and Tenant Relocation By-law and developing a Toronto Renovictions By-law,False,,,,,,False,
2024.PH13.8,Launching the Rental Housing Supply Program,False,,,,,,False,
2024.PH13.9,Community Housing Sector Modernization and Growth Strategy,False,,,,,,False,
2024.PH14.13,Expanding Permitted Uses in Laneway and Garden Suites,False,,,,,,False,
2024.PH14.14,Medical - Office Facilities/Affordable-Seniors Residential Project in Continuum of Care Setting - Request for Minister's Zoning Order at 4646 Dufferin Street,False,,,,,,False,
2024.PH14.6,Advancing the Construction of Affordable Rental Homes at 777 Victoria Park Avenue,False,,,,,,False,
2024.PH14.7,Single Exit Stair: Ontario Building Code Feasibility Study,False,,,,,,False,
2024.PH15.1,Official Plan Policy Amendments for Infrastructure Projects in Parks and Open Space Areas - Decision Report,False,,,,,,False,
2024.PH15.3,35 Bellevue Avenue - Zoning By-law Amendment - Decision Report - Approval,True,,City Initiated,City Initiated,Montgomery Sisam Architects Inc.,City of Toronto,False,
2024.PH15.5,2023-2024 Annual Progress Update Report - HousingTO 2020-2030 Action Plan and Housing Action Plan (2022-2026),False,,,,,,False,
2024.PH16.1,Housing Action Plan: As-of-Right Zoning for Mid-rise Buildings on Avenues and Updated Rear Transition Performance Standards - Final Report,False,,,,,,False,
2024.PH16.13,Building More Missing Middle - Addressing Gaps in Multiplex Permissions,False,,,,,,False,
2024.PH16.2,"Low-Rise Residential Lands in the Toronto and East York District of the City of Toronto, to Zoning By-law 569-2013",False,,,,,,False,
2024.PH16.3,Expanding Housing Options in Neighbourhoods - Beaches-East York Pilot Project - Official Plan and Zoning By-law Amendments - Decision Report - Approval,True,24 113744 19 OZ,CREATETO,-,Superkul,City of Toronto,False,
