item_id,agenda_item_title,linked_via,link_confidence,side,beneficiary_context
2025.TE21.4,"158 Sterling Road (Blocks 5B, 5C and 5D) and 190 Sterling Road (Block 3B) - Official Plan and Zoning By-law Amendment Applications - Decision Report - Approval",address,street_type_matched,developer,HC Lower JCT Holdings LP; HC Lower JCT GP Ltd; Castlepoint Studio Partners; Nestle Canada Inc; Castlepoint Studio Partners; Nestle Canada Inc; ; Castlepoint Studio Properties Limited; ; ; ROI Capital; Castlepoint Studio Partners; HC Lower JCT Holdings LP; HC Lower JCT GP Ltd.; ; Castlepoint Greybrook Sterling Inc.; HC Lower JCT Holdings LP; HC Lower JCT GP Ltd.; Castlepoint Studio Partners; HC Lower JCT Holdings LP; HC Lower JCT GP Ltd.; HC Lower JCT Holdings LP; HC Lower JCT GP Ltd
2025.TE21.9,111 Peter Street - Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,Capital Developments
2026.CC39.10,895 Lawrence Avenue East - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,First Capital Realty Inc.; FCHT Holdings (Ontario) Corporation; First Capital Realty Inc.; FCHT Holdings (Ontario) Corporation; 
2026.CC41.14,155 St Dennis Drive - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,Don Valley Trails Park Holdings Inc; Tercot Communities
2026.EY29.2,2256 Lake Shore Boulevard West - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Core Architects; WND Associates
2026.EY30.1,2775 Jane Street - Zoning By-law Amendment - Decision Report - Approval,identity,org_key_merge,developer,Urban Strategies Inc.
2026.EY31.2,2 to 4 Mendota Road - Official Plan and Zoning By-law Amendment - Decision Report - Approval,identity,org_key_merge,developer,GHD Limited
2026.EY31.3,"2915, 2917, 2939, 2941 and 2943 Bloor Street West - Zoning By-law Amendment Application - Appeal Report",identity+address,org_key_merge,developer,Arcadis Architects (Canada) Inc.; Goldberg Group
2026.EY32.1,2686 and 2688 Lake Shore Boulevard West - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Insoho Developments Inc.; Wallman Architects Ltd.
2026.EY32.5,3100 Weston Road - Zoning By-law Amendment Application - Appeal Report,identity+address,org_key_merge,developer,MHBC
2026.NY33.2,75-81 Billy Bishop Way - Official Plan Amendment and Zoning By-law Amendment Applications - Appeal Report,identity,org_key_merge,developer,Colliers Strategy & Consulting; Manulife Ontario Property Portfolio Inc.
2026.NY34.12,245 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application- Decision Report - Approval,identity+address,org_key_merge,developer,Crestview Investment Corporation
2026.NY34.25,922 Millwood Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,M. Behar Planning & Design Inc.; TAES Architects Inc.
2026.NY34.8,1-11 Vinci Crescent - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,identity+address,org_key_merge,developer,MHBC Planning
2026.NY34.9,1377 Sheppard Avenue West (Downsview West District) - Zoning By-law Amendment - Decision Report - Approval,identity,org_key_merge,developer,Parc Downsview Park Inc.; Urban Strategies Inc.
2026.PH27.2,"Toronto Builds - 1631 and 1641 Queen Street East, and 1080 (Portion) and 1090 Eastern Avenue - Official Plan and Zoning By-law Amendment - Decision Report - Approval",identity,org_key_merge,developer,SvN Architects + Planners
2026.PH29.6,105-109 Vanderhoof Avenue and 10 Brentcliffe Road - Official Plan Amendment Application - Appeal Report,address,street_type_matched,developer,
2026.PH30.3,3838 Bloor Street West - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,ERA Architects Inc.
